Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
SimplifyBooleanWithConstants;Kotlin/Style issues;Boolean expression can be simplified;kotlin;LOCAL;0.00;0.01%;0;3
ComplexRedundantLet;Kotlin/Redundant constructs;Redundant argument-based 'let' call;kotlin;LOCAL;0.00;0.01%;0;3
ThrowableNotThrown;Kotlin/Probable bugs;Throwable not thrown;kotlin;LOCAL;0.00;0.01%;0;3
ReplaceAssociateFunction;Kotlin/Style issues;'associate' can be replaced with 'associateBy' or 'associateWith';kotlin;LOCAL;0.00;0.01%;0;3
DoubleNegation;Kotlin/Redundant constructs;Redundant double negation;kotlin;LOCAL;0.00;0.01%;0;3
MainFunctionReturnUnit;Kotlin/Probable bugs;Main function should return 'Unit';kotlin;LOCAL;0.00;0.01%;0;3
SimplifiableCall;Kotlin/Style issues;Library function call could be simplified;kotlin;LOCAL;0.00;0.01%;0;3
RemoveSetterParameterType;Kotlin/Redundant constructs;Redundant setter parameter type;kotlin;LOCAL;0.00;0.01%;0;3
RemoveRedundantBackticks;Kotlin/Redundant constructs;Redundant backticks;kotlin;LOCAL;0.00;0.01%;0;3
WorkspaceImplObsolete;Plugin DevKit/Workspace model;Obsolete version of entity implementation;kotlin;LOCAL;0.00;0.00%;0;3
SimplifyNestedEachInScopeFunction;Kotlin/Style issues;Scope function with nested forEach can be simplified;kotlin;LOCAL;0.00;0.00%;0;3
RedundantRunCatching;Kotlin/Style issues;Redundant 'runCatching' call;kotlin;LOCAL;0.00;0.00%;0;3
DelegationToVarProperty;Kotlin/Probable bugs;Delegating to 'var' property;kotlin;LOCAL;0.00;0.00%;0;3
EqualsBetweenInconvertibleTypes;Kotlin/Probable bugs;'equals()' between objects of inconvertible types;kotlin;LOCAL;0.00;0.00%;0;3
ProtectedInFinal;Kotlin/Style issues;'protected' visibility is effectively 'private' in a final class;kotlin;LOCAL;0.00;0.00%;0;3
NestedLambdaShadowedImplicitParameter;Kotlin/Style issues;Nested lambda has shadowed implicit parameter;kotlin;LOCAL;0.00;0.00%;0;3
IncompleteDestructuring;Kotlin/Probable bugs;Incomplete destructuring declaration;kotlin;LOCAL;0.00;0.00%;0;3
PlatformExtensionReceiverOfInline;Kotlin/Java interop issues;'inline fun' with nullable receiver until Kotlin 1.2;kotlin;LOCAL;0.00;0.00%;0;3
RedundantGetter;Kotlin/Redundant constructs;Redundant property getter;kotlin;LOCAL;0.00;0.00%;0;3
SuspiciousEqualsCombination;Kotlin/Probable bugs;Suspicious combination of == and ===;kotlin;LOCAL;0.00;0.00%;0;3
MigrateDiagnosticSuppression;Kotlin/Other problems;Diagnostic name should be replaced;kotlin;LOCAL;0.00;0.00%;0;3
ArrayInDataClass;Kotlin/Probable bugs;Array property in data class;kotlin;LOCAL;0.00;0.00%;0;3
ForEachParameterNotUsed;Kotlin/Probable bugs;Iterated elements are not used in forEach;kotlin;LOCAL;0.00;0.00%;0;3
DeferredIsResult;Kotlin/Style issues;Function returning Deferred directly;kotlin;LOCAL;0.00;0.00%;0;3
ConvertNaNEquality;Kotlin/Probable bugs;Convert equality check with 'NaN' to 'isNaN' call;kotlin;LOCAL;0.00;0.00%;0;3
RemoveRedundantCallsOfConversionMethods;Kotlin/Redundant constructs;Redundant call of conversion method;kotlin;LOCAL;0.00;0.00%;0;3
UsePropertyAccessSyntax;Kotlin/Style issues;Accessor call that can be replaced with property access syntax;kotlin;LOCAL;0.00;0.00%;0;3
SafeCastWithReturn;Kotlin/Style issues;Safe cast with 'return' should be replaced with 'if' type check;kotlin;LOCAL;0.00;0.00%;0;3
SimplifiableCallChain;Kotlin/Style issues;Call chain on collection type can be simplified;kotlin;LOCAL;0.00;0.00%;0;3
ConvertSecondaryConstructorToPrimary;Kotlin/Style issues;Convert to primary constructor;kotlin;LOCAL;0.00;0.00%;0;3
RemoveRedundantSpreadOperator;Kotlin/Redundant constructs;Redundant spread operator;kotlin;LOCAL;0.00;0.00%;0;3
RedundantUnitReturnType;Kotlin/Redundant constructs;Redundant 'Unit' return type;kotlin;LOCAL;0.00;0.00%;0;3
UnusedReceiverParameter;Kotlin/Redundant constructs;Unused receiver parameter;kotlin;LOCAL;0.00;0.00%;0;3
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.00;0.00%;0;3
CopyWithoutNamedArguments;Kotlin/Style issues;'copy' method of data class is called without named arguments;kotlin;LOCAL;0.00;0.00%;0;3
WrapUnaryOperator;Kotlin/Probable bugs;Ambiguous unary operator use with number constant;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceSizeZeroCheckWithIsEmpty;Kotlin/Style issues;Size zero check can be replaced with 'isEmpty()';kotlin;LOCAL;0.00;0.00%;0;3
VerboseNullabilityAndEmptiness;Kotlin/Style issues;Verbose nullability and emptiness check;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceWithIgnoreCaseEquals;Kotlin/Redundant constructs;Should be replaced with 'equals(..., ignoreCase = true)';kotlin;LOCAL;0.00;0.00%;0;3
SelfAssignment;Kotlin/Probable bugs;Redundant assignment;kotlin;LOCAL;0.00;0.00%;0;3
TestFunctionName;Kotlin/Naming conventions;Test function naming convention;kotlin;LOCAL;0.00;0.00%;0;3
UselessCallOnNotNull;Kotlin/Probable bugs;Useless call on not-null type;kotlin;LOCAL;0.00;0.00%;0;3
RecursiveEqualsCall;Kotlin/Probable bugs;Recursive equals call;kotlin;LOCAL;0.00;0.00%;0;3
SuspiciousVarProperty;Kotlin/Probable bugs;Suspicious 'var' property: its setter does not influence its getter result;kotlin;LOCAL;0.00;0.00%;0;3
RedundantEnumConstructorInvocation;Kotlin/Redundant constructs;Redundant enum constructor invocation;kotlin;LOCAL;0.00;0.00%;0;3
SimpleRedundantLet;Kotlin/Redundant constructs;Redundant receiver-based 'let' call;kotlin;LOCAL;0.00;0.00%;0;3
KDocUnresolvedReference;Kotlin/Probable bugs;Unresolved reference in KDoc;kotlin;LOCAL;0.00;0.00%;0;3
ObsoleteExperimentalCoroutines;Kotlin/Migration;Experimental coroutines usages are deprecated since 1.3;kotlin;LOCAL;0.00;0.00%;0;3
DestructuringWrongName;Kotlin/Probable bugs;Variable in destructuring declaration uses name of a wrong data class property;kotlin;LOCAL;0.00;0.00%;0;3
ControlFlowWithEmptyBody;Kotlin/Probable bugs;Control flow with empty body;kotlin;LOCAL;0.00;0.00%;0;3
NullChecksToSafeCall;Kotlin/Redundant constructs;Null-checks can be replaced with safe-calls;kotlin;LOCAL;0.00;0.00%;0;3
RemoveEmptyClassBody;Kotlin/Redundant constructs;Replace empty class body;kotlin;LOCAL;0.00;0.00%;0;3
RedundantSetter;Kotlin/Redundant constructs;Redundant property setter;kotlin;LOCAL;0.00;0.00%;0;3
CanBeParameter;Kotlin/Redundant constructs;Constructor parameter is never used as a property;kotlin;LOCAL;0.00;0.00%;0;3
SimplifyWhenWithBooleanConstantCondition;Kotlin/Redundant constructs;Simplifiable 'when';kotlin;LOCAL;0.00;0.00%;0;3
RedundantReturnLabel;Kotlin/Redundant constructs;Redundant 'return' label;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceRangeStartEndInclusiveWithFirstLast;Kotlin/Style issues;Boxed properties should be replaced with unboxed;kotlin;LOCAL;0.00;0.00%;0;3
RedundantSamConstructor;Kotlin/Redundant constructs;Redundant SAM constructor;kotlin;LOCAL;0.00;0.00%;0;3
FunctionWithLambdaExpressionBody;Kotlin/Style issues;Function with '= { ... }' and inferred return type;kotlin;LOCAL;0.00;0.00%;0;3
RedundantAsync;Kotlin/Style issues;Redundant 'async' call;kotlin;LOCAL;0.00;0.00%;0;3
UnusedDataClassCopyResult;Kotlin/Probable bugs;Unused result of data class copy;kotlin;LOCAL;0.00;0.00%;0;3
CanSealedSubClassBeObject;Kotlin/Probable bugs;Sealed sub-class without state and overridden equals;kotlin;LOCAL;0.00;0.00%;0;3
RedundantVisibilityModifier;Kotlin/Redundant constructs;Redundant visibility modifier;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceManualRangeWithIndicesCalls;Kotlin/Style issues;Range can be converted to indices or iteration;kotlin;LOCAL;0.00;0.00%;0;3
KotlinPlaceholderCountMatchesArgumentCount;Kotlin/Logging;Number of placeholders does not match number of arguments in logging call;kotlin;LOCAL;0.00;0.00%;0;3
PropertyName;Kotlin/Naming conventions;Property naming convention;kotlin;LOCAL;0.00;0.00%;0;3
RemoveEmptyParenthesesFromAnnotationEntry;Kotlin/Style issues;Remove unnecessary parentheses;kotlin;LOCAL;0.00;0.00%;0;3
IntroduceWhenSubject;Kotlin/Style issues;'when' that can be simplified by introducing an argument;kotlin;LOCAL;0.00;0.00%;0;3
DataClassPrivateConstructor;Kotlin/Probable bugs;Private data class constructor is exposed via the 'copy' method;kotlin;LOCAL;0.00;0.00%;0;3
FunctionName;Kotlin/Naming conventions;Function naming convention;kotlin;LOCAL;0.00;0.00%;0;3
SuspiciousCollectionReassignment;Kotlin/Probable bugs;Augmented assignment creates a new collection under the hood;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceGetOrSet;Kotlin/Style issues;Explicit 'get' or 'set' call;kotlin;LOCAL;0.00;0.00%;0;3
RedundantAsSequence;Kotlin/Style issues;Redundant 'asSequence' call;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceCallWithBinaryOperator;Kotlin/Style issues;Can be replaced with binary operator;kotlin;LOCAL;0.00;0.00%;0;3
MemberVisibilityCanBePrivate;Kotlin/Style issues;Class member can have 'private' visibility;kotlin;LOCAL;0.00;0.00%;0;3
ConvertTryFinallyToUseCall;Kotlin/Style issues;Convert try / finally to use() call;kotlin;LOCAL;0.00;0.00%;0;3
NullableBooleanElvis;Kotlin/Style issues;Equality check can be used instead of elvis for nullable boolean check;kotlin;LOCAL;0.00;0.00%;0;3
UnusedUnaryOperator;Kotlin/Probable bugs;Unused unary operator;kotlin;LOCAL;0.00;0.00%;0;3
EnumEntryName;Kotlin/Naming conventions;Enum entry naming convention;kotlin;LOCAL;0.00;0.00%;0;3
UnnecessaryVariable;Kotlin/Redundant constructs;Unnecessary local variable;kotlin;LOCAL;0.00;0.00%;0;3
RemoveForLoopIndices;Kotlin/Redundant constructs;Unused loop index;kotlin;LOCAL;0.00;0.00%;0;3
SetterBackingFieldAssignment;Kotlin/Probable bugs;Existing backing field without assignment;kotlin;LOCAL;0.00;0.00%;0;3
ReplaceArrayOfWithLiteral;Kotlin/Style issues;'arrayOf' call can be replaced with array literal [...];kotlin;LOCAL;0.00;0.00%;0;3
